DATE,TEAM,POINTS,HOME_AWAY,WIN_PROB,PRED_SPREAD,WON,ACTUAL_SPREAD,VEGAS_SPREAD
2016-11-12,Louisville Cardinals,78.0,home,0.0,0.0,True,31.0,22.5
2016-11-12,Evansville Purple Aces,47.0,away,0.0,0.0,False,-31.0,-22.5
2016-11-12,Xavier Musketeers,84.0,home,0.0,0.0,True,3.0,0.0
2016-11-12,Lehigh Mountain Hawks,81.0,away,0.0,0.0,False,-3.0,0.0
2016-11-12,UNC Greensboro Spartans,51.0,home,0.0,0.0,False,-25.0,-14.0
2016-11-12,Virginia Cavaliers,76.0,away,0.0,0.0,True,25.0,14.0
2016-11-12,Gonzaga Bulldogs,92.0,home,0.0,0.0,True,23.0,0.0
2016-11-12,Utah Valley Wolverines,69.0,away,0.0,0.0,False,-23.0,0.0
2016-11-11,Villanova Wildcats,88.0,home,0.0,0.0,True,40.0,34.5
2016-11-11,Lafayette Leopards,48.0,away,0.0,0.0,False,-40.0,-34.5
2016-11-12,UCLA Bruins,119.0,home,0.0,0.0,True,39.0,17.0
2016-11-12,Pacific Tigers,80.0,away,0.0,0.0,False,-39.0,-17.0
2016-11-12,Purdue Boilermakers,109.0,home,0.0,0.0,True,44.0,0.0
2016-11-12,McNeese Cowboys,65.0,away,0.0,0.0,False,-44.0,0.0
2016-11-12,UConn Huskies,58.0,home,0.0,0.0,False,-9.0,0.0
2016-11-12,Wagner Seahawks,67.0,away,0.0,0.0,True,9.0,0.0
2016-11-12,Saint Mary's Gaels,81.0,home,0.0,0.0,True,18.0,11.5
2016-11-12,Nevada Wolf Pack,63.0,away,0.0,0.0,False,-18.0,-11.5
2016-11-12,Syracuse Orange,83.0,home,0.0,0.0,True,28.0,0.0
2016-11-12,Colgate Raiders,55.0,away,0.0,0.0,False,-28.0,0.0
2016-11-12,West Virginia Mountaineers,87.0,home,0.0,0.0,True,28.0,0.0
2016-11-12,Mount St. Mary's Mountaineers,59.0,away,0.0,0.0,False,-28.0,0.0
2016-11-12,Creighton Bluejays,89.0,home,0.0,0.0,True,7.0,0.0
2016-11-12,Kansas City Roos,82.0,away,0.0,0.0,False,-7.0,0.0
2016-11-12,Iowa State Cyclones,113.0,home,0.0,0.0,True,42.0,0.0
2016-11-12,Savannah State Tigers,71.0,away,0.0,0.0,False,-42.0,0.0
2016-11-12,Rhode Island Rams,84.0,home,0.0,0.0,True,23.0,18.5
2016-11-12,Dartmouth Big Green,61.0,away,0.0,0.0,False,-23.0,-18.5
2016-11-12,Maryland Terrapins,62.0,home,0.0,0.0,True,6.0,20.5
2016-11-12,American University Eagles,56.0,away,0.0,0.0,False,-6.0,-20.5
2016-11-11,Middle Tennessee Blue Raiders,102.0,home,0.0,0.0,True,38.0,0.0
2016-11-11,Milligan Buffaloes,64.0,away,0.0,0.0,False,-38.0,0.0
2016-11-11,Miami (OH) RedHawks,84.0,home,0.0,0.0,True,27.0,0.0
2016-11-11,Muskingum Fighting Muskies,57.0,away,0.0,0.0,False,-27.0,0.0
2016-11-11,New Hampshire Wildcats,85.0,home,0.0,0.0,True,25.0,0.0
2016-11-11,Lesley University Lynx,60.0,away,0.0,0.0,False,-25.0,0.0
2016-11-11,Lipscomb Bisons,96.0,home,0.0,0.0,True,43.0,0.0
2016-11-11,Sewanee Tigers,53.0,away,0.0,0.0,False,-43.0,0.0
2016-11-11,Jackson State Tigers,66.0,home,0.0,0.0,True,12.0,0.0
2016-11-11,Xavier (LA) Gold Nuggets,54.0,away,0.0,0.0,False,-12.0,0.0
2016-11-11,UMBC Retrievers,92.0,home,0.0,0.0,True,31.0,0.0
2016-11-11,Hood College Blazers,61.0,away,0.0,0.0,False,-31.0,0.0
2016-11-11,UL Monroe Warhawks,96.0,home,0.0,0.0,True,33.0,0.0
2016-11-11,Centenary (LA) Gentlemen,63.0,away,0.0,0.0,False,-33.0,0.0
2016-11-11,North Dakota Fighting Hawks,98.0,home,0.0,0.0,True,50.0,0.0
2016-11-11,Crown College Polars,48.0,away,0.0,0.0,False,-50.0,0.0
2016-11-11,Eastern Washington Eagles,70.0,home,0.0,0.0,True,23.0,0.0
2016-11-11,Linfield College Wildcats,47.0,away,0.0,0.0,False,-23.0,0.0
2016-11-11,Massachusetts Minutemen,90.0,home,0.0,0.0,True,14.0,0.0
2016-11-11,UMass Lowell River Hawks,76.0,away,0.0,0.0,False,-14.0,0.0
2016-11-11,North Carolina A&T Aggies,67.0,home,0.0,0.0,True,17.0,0.0
2016-11-11,Greensboro College Pride,50.0,away,0.0,0.0,False,-17.0,0.0
2016-11-11,South Carolina Gamecocks,85.0,home,0.0,0.0,True,9.0,10.0
2016-11-11,Louisiana Tech Bulldogs,76.0,away,0.0,0.0,False,-9.0,-10.0
2016-11-11,Marquette Golden Eagles,95.0,home,0.0,0.0,True,24.0,2.0
2016-11-11,Vanderbilt Commodores,71.0,away,0.0,0.0,False,-24.0,-2.0
2016-11-12,Northern Kentucky Norse,96.0,home,0.0,0.0,True,40.0,0.0
2016-11-12,Earlham College Quakers,56.0,away,0.0,0.0,False,-40.0,0.0
2016-11-12,Air Force Falcons,88.0,home,0.0,0.0,True,17.0,0.0
2016-11-12,McPherson Mcpherson,71.0,away,0.0,0.0,False,-17.0,0.0
2016-11-12,Hofstra Pride,74.0,home,0.0,0.0,True,2.0,0.0
2016-11-12,Coppin State Eagles,72.0,away,0.0,0.0,False,-2.0,0.0
2016-11-12,Delaware Blue Hens,64.0,home,0.0,0.0,True,8.0,0.0
2016-11-12,Goldey-Beacom Lightning,56.0,away,0.0,0.0,False,-8.0,0.0
2016-11-12,Old Dominion Monarchs,62.0,home,0.0,0.0,True,7.0,4.0
2016-11-12,James Madison Dukes,55.0,away,0.0,0.0,False,-7.0,-4.0
2016-11-12,Florida International Panthers,76.0,home,0.0,0.0,True,19.0,0.0
2016-11-12,Florida Memorial FLORIDA MEMORIAL,57.0,away,0.0,0.0,False,-19.0,0.0
2016-11-12,Seton Hall Pirates,91.0,home,0.0,0.0,True,21.0,0.0
2016-11-12,Fairleigh Dickinson Knights,70.0,away,0.0,0.0,False,-21.0,0.0
2016-11-12,Long Island University Sharks,78.0,home,0.0,0.0,True,38.0,0.0
2016-11-12,John Jay College Bloodhounds,40.0,away,0.0,0.0,False,-38.0,0.0
2016-11-12,Robert Morris Colonials,50.0,home,0.0,0.0,False,-17.0,0.0
2016-11-12,Pennsylvania Quakers,67.0,away,0.0,0.0,True,17.0,0.0
2016-11-12,Central Connecticut Blue Devils,75.0,home,0.0,0.0,True,15.0,0.0
2016-11-12,Hartford Hawks,60.0,away,0.0,0.0,False,-15.0,0.0
2016-11-12,Stony Brook Seawolves,66.0,home,0.0,0.0,False,-7.0,0.0
2016-11-12,Columbia Lions,73.0,away,0.0,0.0,True,7.0,0.0
2016-11-12,Detroit Mercy Titans,99.0,home,0.0,0.0,True,30.0,0.0
2016-11-12,Adrian Bulldogs,69.0,away,0.0,0.0,False,-30.0,0.0
2016-11-12,George Washington Revolutionaries,75.0,home,0.0,0.0,True,4.0,0.0
2016-11-12,Maryland Eastern Shore Hawks,71.0,away,0.0,0.0,False,-4.0,0.0
2016-11-12,Duquesne Dukes,65.0,home,0.0,0.0,True,5.0,0.0
2016-11-12,Loyola Maryland Greyhounds,60.0,away,0.0,0.0,False,-5.0,0.0
2016-11-12,Northeastern Huskies,87.0,home,0.0,0.0,True,10.0,0.0
2016-11-12,Boston University Terriers,77.0,away,0.0,0.0,False,-10.0,0.0
2016-11-12,Dayton Flyers,96.0,home,0.0,0.0,True,28.0,19.5
2016-11-12,Austin Peay Governors,68.0,away,0.0,0.0,False,-28.0,-19.5
2016-11-12,Monmouth Hawks,78.0,home,0.0,0.0,True,13.0,20.0
2016-11-12,Drexel Dragons,65.0,away,0.0,0.0,False,-13.0,-20.0
2016-11-12,Hampton Pirates,56.0,home,0.0,0.0,False,-11.0,0.0
2016-11-12,Rider Broncs,67.0,away,0.0,0.0,True,11.0,0.0
2016-11-12,Bucknell Bison,76.0,home,0.0,0.0,True,12.0,0.0
2016-11-12,Manhattan Jaspers,64.0,away,0.0,0.0,False,-12.0,0.0
2016-11-12,Fairfield Stags,85.0,home,0.0,0.0,True,22.0,0.0
2016-11-12,Sacred Heart Pioneers,63.0,away,0.0,0.0,False,-22.0,0.0
2016-11-12,Western Michigan Broncos,90.0,home,0.0,0.0,True,16.0,0.0
2016-11-12,Marygrove Mustangs,74.0,away,0.0,0.0,False,-16.0,0.0
2016-11-12,Central Michigan Chippewas,117.0,home,0.0,0.0,True,64.0,0.0
2016-11-12,Indiana-Kokomo Cougars,53.0,away,0.0,0.0,False,-64.0,0.0
2016-11-12,Oakland Golden Grizzlies,78.0,home,0.0,0.0,True,8.0,8.5
2016-11-12,Bowling Green Falcons,70.0,away,0.0,0.0,False,-8.0,-8.5
2016-11-12,Charleston Cougars,81.0,home,0.0,0.0,True,13.0,22.0
2016-11-12,The Citadel Bulldogs,68.0,away,0.0,0.0,False,-13.0,-22.0
2016-11-12,Richmond Spiders,72.0,home,0.0,0.0,True,3.0,16.5
2016-11-12,VMI Keydets,69.0,away,0.0,0.0,False,-3.0,-16.5
2016-11-12,East Tennessee State Buccaneers,96.0,home,0.0,0.0,True,37.0,6.5
2016-11-12,Fordham Rams,59.0,away,0.0,0.0,False,-37.0,-6.5
2016-11-12,VCU Rams,80.0,home,0.0,0.0,True,15.0,0.0
2016-11-12,UNC Asheville Bulldogs,65.0,away,0.0,0.0,False,-15.0,0.0
2016-11-12,Presbyterian Blue Hose,73.0,home,0.0,0.0,True,2.0,0.0
2016-11-12,Furman Paladins,71.0,away,0.0,0.0,False,-2.0,0.0
2016-11-12,Cincinnati Bearcats,84.0,home,0.0,0.0,True,29.0,23.0
2016-11-12,Brown Bears,55.0,away,0.0,0.0,False,-29.0,-23.0
2016-11-12,South Florida Bulls,84.0,home,0.0,0.0,True,11.0,0.0
2016-11-12,Florida A&M Rattlers,73.0,away,0.0,0.0,False,-11.0,0.0
2016-11-12,Temple Owls,97.0,home,0.0,0.0,True,5.0,-2.0
2016-11-12,La Salle Explorers,92.0,away,0.0,0.0,False,-5.0,2.0
2016-11-12,Baylor Bears,76.0,home,0.0,0.0,True,15.0,17.0
2016-11-12,Oral Roberts Golden Eagles,61.0,away,0.0,0.0,False,-15.0,-17.0
2016-11-12,TCU Horned Frogs,82.0,home,0.0,0.0,True,18.0,0.0
2016-11-12,St. Thomas (TX) Celts,64.0,away,0.0,0.0,False,-18.0,0.0
2016-11-12,Georgia State Panthers,111.0,home,0.0,0.0,True,42.0,0.0
2016-11-12,Thomas (GA) Night Hawks,69.0,away,0.0,0.0,False,-42.0,0.0
2016-11-12,Washington State Cougars,69.0,home,0.0,0.0,True,4.0,9.5
2016-11-12,Montana State Bobcats,65.0,away,0.0,0.0,False,-4.0,-9.5
2016-11-12,Duke Blue Devils,94.0,home,0.0,0.0,True,45.0,31.0
2016-11-12,Marist Red Foxes,49.0,away,0.0,0.0,False,-45.0,-31.0
2016-11-12,Boston College Eagles,73.0,home,0.0,0.0,False,-6.0,0.0
2016-11-12,Nicholls Colonels,79.0,away,0.0,0.0,True,6.0,0.0
2016-11-12,Pittsburgh Panthers,93.0,home,0.0,0.0,True,3.0,11.5
2016-11-12,Eastern Michigan Eagles,90.0,away,0.0,0.0,False,-3.0,-11.5
2016-11-12,NC State Wolfpack,81.0,home,0.0,0.0,True,2.0,13.0
2016-11-12,Georgia Southern Eagles,79.0,away,0.0,0.0,False,-2.0,-13.0
2016-11-12,Miami Hurricanes,92.0,home,0.0,0.0,True,49.0,23.5
2016-11-12,Western Carolina Catamounts,43.0,away,0.0,0.0,False,-49.0,-23.5
2016-11-12,Rutgers Scarlet Knights,86.0,home,0.0,0.0,True,29.0,0.0
2016-11-12,Molloy Lions,57.0,away,0.0,0.0,False,-29.0,0.0
2016-11-12,Clemson Tigers,74.0,home,0.0,0.0,True,10.0,4.5
2016-11-12,Georgia Bulldogs,64.0,away,0.0,0.0,False,-10.0,-4.5
2016-11-12,Penn State Nittany Lions,81.0,home,0.0,0.0,False,-6.0,0.0
2016-11-12,UAlbany Great Danes,87.0,away,0.0,0.0,True,6.0,0.0
2016-11-12,Michigan State Spartans,63.0,home,0.0,0.0,False,-2.0,1.0
2016-11-12,Arizona Wildcats,65.0,away,0.0,0.0,True,2.0,-1.0
2016-11-12,Kentucky Wildcats,87.0,home,0.0,0.0,True,23.0,21.0
2016-11-12,Stephen F. Austin Lumberjacks,64.0,away,0.0,0.0,False,-23.0,-21.0
2016-11-12,Ole Miss Rebels,86.0,home,0.0,0.0,True,3.0,17.5
2016-11-12,UT Martin Skyhawks,83.0,away,0.0,0.0,False,-3.0,-17.5
2016-11-12,Tennessee Volunteers,69.0,home,0.0,0.0,False,-13.0,3.5
2016-11-12,Chattanooga Mocs,82.0,away,0.0,0.0,True,13.0,-3.5
2016-11-12,UNC Wilmington Seahawks,110.0,home,0.0,0.0,True,46.0,0.0
2016-11-12,Claflin Panthers,64.0,away,0.0,0.0,False,-46.0,0.0
2016-11-12,Tennessee State Tigers,78.0,home,0.0,0.0,True,14.0,4.5
2016-11-12,UC Davis Aggies,64.0,away,0.0,0.0,False,-14.0,-4.5
2016-11-12,Binghamton Bearcats,68.0,home,0.0,0.0,True,6.0,0.0
2016-11-12,Cornell Big Red,62.0,away,0.0,0.0,False,-6.0,0.0
2016-11-12,Wake Forest Demon Deacons,80.0,home,0.0,0.0,True,21.0,0.0
2016-11-12,Radford Highlanders,59.0,away,0.0,0.0,False,-21.0,0.0
2016-11-12,Texas Tech Red Raiders,93.0,home,0.0,0.0,True,26.0,0.0
2016-11-12,Houston Christian Huskies,67.0,away,0.0,0.0,False,-26.0,0.0
2016-11-12,Florida Gators,80.0,home,0.0,0.0,True,21.0,0.0
2016-11-12,Florida Gulf Coast Eagles,59.0,away,0.0,0.0,False,-21.0,0.0
2016-11-12,NJIT Highlanders,100.0,home,0.0,0.0,True,62.0,0.0
2016-11-12,Sarah Lawrence Gryphons,38.0,away,0.0,0.0,False,-62.0,0.0
2016-11-12,Morehead State Eagles,106.0,home,0.0,0.0,True,65.0,0.0
2016-11-12,Kentucky Christian Knights,41.0,away,0.0,0.0,False,-65.0,0.0
2016-11-12,Delaware State Hornets,103.0,home,0.0,0.0,True,47.0,0.0
2016-11-12,Clarks Summit Defenders,56.0,away,0.0,0.0,False,-47.0,0.0
2016-11-12,Milwaukee Panthers,88.0,home,0.0,0.0,True,30.0,0.0
2016-11-12,Milwaukee School Of Engineering Raiders,58.0,away,0.0,0.0,False,-30.0,0.0
2016-11-12,Texas A&M-Corpus Christi Islanders,115.0,home,0.0,0.0,True,15.0,0.0
2016-11-12,Our Lady Of The Lake Saints,100.0,away,0.0,0.0,False,-15.0,0.0
2016-11-12,New Orleans Privateers,103.0,home,0.0,0.0,True,36.0,0.0
2016-11-12,LaGrange Panthers,67.0,away,0.0,0.0,False,-36.0,0.0
2016-11-12,SE Louisiana Lions,85.0,home,0.0,0.0,True,46.0,0.0
2016-11-12,Millsaps Majors,39.0,away,0.0,0.0,False,-46.0,0.0
2016-11-12,Abilene Christian Wildcats,73.0,home,0.0,0.0,True,14.0,0.0
2016-11-12,Schreiner Mountaineers,59.0,away,0.0,0.0,False,-14.0,0.0
2016-11-12,Lamar Cardinals,90.0,home,0.0,0.0,True,43.0,0.0
2016-11-12,Howard Payne Yellow Jackets,47.0,away,0.0,0.0,False,-43.0,0.0
2016-11-12,Elon Phoenix,101.0,home,0.0,0.0,True,33.0,0.0
2016-11-12,William Peace Pacers,68.0,away,0.0,0.0,False,-33.0,0.0
2016-11-12,UAB Blazers,86.0,home,0.0,0.0,True,20.0,0.0
2016-11-12,Arkansas-Pine Bluff Golden Lions,66.0,away,0.0,0.0,False,-20.0,0.0
2016-11-12,Southern Miss Golden Eagles,101.0,home,0.0,0.0,True,5.0,0.0
2016-11-12,Tougaloo Bulldogs,96.0,away,0.0,0.0,False,-5.0,0.0
2016-11-12,Charlotte 49ers,101.0,home,0.0,0.0,True,13.0,0.0
2016-11-12,Newberry Wolves,88.0,away,0.0,0.0,False,-13.0,0.0
2016-11-12,North Texas Mean Green,85.0,home,0.0,0.0,True,8.0,0.0
2016-11-12,Sul Ross State Lobos,77.0,away,0.0,0.0,False,-8.0,0.0
2016-11-12,Stetson Hatters,78.0,home,0.0,0.0,True,16.0,0.0
2016-11-12,Webber International Warriors,62.0,away,0.0,0.0,False,-16.0,0.0
2016-11-12,Southern Illinois Salukis,81.0,home,0.0,0.0,False,-4.0,5.5
2016-11-12,Wright State Raiders,85.0,away,0.0,0.0,True,4.0,-5.5
2016-11-12,Bradley Braves,70.0,home,0.0,0.0,True,15.0,0.0
2016-11-12,Illinois-Springfield Prairie Stars,55.0,away,0.0,0.0,False,-15.0,0.0
2016-11-12,Murray State Racers,73.0,home,0.0,0.0,True,3.0,-2.0
2016-11-12,Illinois State Redbirds,70.0,away,0.0,0.0,False,-3.0,2.0
2016-11-12,Eastern Kentucky Colonels,97.0,home,0.0,0.0,True,10.0,-1.0
2016-11-12,IU Indianapolis Jaguars,87.0,away,0.0,0.0,False,-10.0,1.0
2016-11-12,Northern Illinois Huskies,80.0,home,0.0,0.0,True,2.0,6.0
2016-11-12,Indiana State Sycamores,78.0,away,0.0,0.0,False,-2.0,-6.0
2016-11-12,Niagara Purple Eagles,66.0,home,0.0,0.0,False,-10.0,-6.0
2016-11-12,Buffalo Bulls,76.0,away,0.0,0.0,True,10.0,6.0
2016-11-12,Saint Louis Billikens,64.0,home,0.0,0.0,False,-21.0,-4.0
2016-11-12,Ball State Cardinals,85.0,away,0.0,0.0,True,21.0,4.0
2016-11-12,Houston Cougars,93.0,home,0.0,0.0,True,41.0,0.0
2016-11-12,Morgan State Bears,52.0,away,0.0,0.0,False,-41.0,0.0
2016-11-12,SMU Mustangs,72.0,home,0.0,0.0,True,28.0,0.0
2016-11-12,Gardner-Webb Runnin' Bulldogs,44.0,away,0.0,0.0,False,-28.0,0.0
2016-11-12,East Carolina Pirates,72.0,home,0.0,0.0,True,15.0,0.0
2016-11-12,Grambling Tigers,57.0,away,0.0,0.0,False,-15.0,0.0
2016-11-12,Tulsa Golden Hurricane,73.0,home,0.0,0.0,False,-11.0,12.0
2016-11-12,Jacksonville State Gamecocks,84.0,away,0.0,0.0,True,11.0,-12.0
2016-11-12,Oklahoma State Cowboys,102.0,home,0.0,0.0,True,37.0,0.0
2016-11-12,Campbell Fighting Camels,65.0,away,0.0,0.0,False,-37.0,0.0
2016-11-12,Valparaiso Beacons,79.0,home,0.0,0.0,True,14.0,22.5
2016-11-12,Southern Utah Thunderbirds,65.0,away,0.0,0.0,False,-14.0,-22.5
2016-11-12,Troy Trojans,135.0,home,0.0,0.0,True,59.0,0.0
2016-11-12,Toccoa Falls Eagles,76.0,away,0.0,0.0,False,-59.0,0.0
2016-11-12,North Dakota State Bison,76.0,home,0.0,0.0,True,10.0,12.5
2016-11-12,Arkansas State Red Wolves,66.0,away,0.0,0.0,False,-10.0,-12.5
2016-11-12,Northwestern Wildcats,94.0,home,0.0,0.0,True,31.0,0.0
2016-11-12,Mississippi Valley State Delta Devils,63.0,away,0.0,0.0,False,-31.0,0.0
2016-11-12,Minnesota Golden Gophers,86.0,home,0.0,0.0,True,12.0,9.5
2016-11-12,Louisiana Ragin' Cajuns,74.0,away,0.0,0.0,False,-12.0,-9.5
2016-11-12,Georgia Tech Yellow Jackets,70.0,home,0.0,0.0,True,15.0,7.0
2016-11-12,Tennessee Tech Golden Eagles,55.0,away,0.0,0.0,False,-15.0,-7.0
2016-11-12,Wisconsin Badgers,79.0,home,0.0,0.0,True,32.0,0.0
2016-11-12,Central Arkansas Bears,47.0,away,0.0,0.0,False,-32.0,0.0
2016-11-12,Texas Longhorns,78.0,home,0.0,0.0,True,5.0,0.0
2016-11-12,Incarnate Word Cardinals,73.0,away,0.0,0.0,False,-5.0,0.0
2016-11-12,Mississippi State Bulldogs,78.0,home,0.0,0.0,True,4.0,0.0
2016-11-12,Norfolk State Spartans,74.0,away,0.0,0.0,False,-4.0,0.0
2016-11-12,Missouri State Bears,96.0,home,0.0,0.0,True,34.0,0.0
2016-11-12,Alabama A&M Bulldogs,62.0,away,0.0,0.0,False,-34.0,0.0
2016-11-12,Arkansas Razorbacks,92.0,home,0.0,0.0,True,9.0,15.0
2016-11-12,Purdue Fort Wayne Mastodons,83.0,away,0.0,0.0,False,-9.0,-15.0
2016-11-12,Loyola Chicago Ramblers,69.0,home,0.0,0.0,True,25.0,0.0
2016-11-12,Alcorn State Braves,44.0,away,0.0,0.0,False,-25.0,0.0
2016-11-12,Eastern Illinois Panthers,83.0,home,0.0,0.0,True,42.0,0.0
2016-11-12,St. Francis (IL) Fighting Saints,41.0,away,0.0,0.0,False,-42.0,0.0
2016-11-12,Liberty Flames,81.0,home,0.0,0.0,True,28.0,0.0
2016-11-12,Cairn University Highlanders,53.0,away,0.0,0.0,False,-28.0,0.0
2016-11-12,St. John's Red Storm,100.0,home,0.0,0.0,True,47.0,0.0
2016-11-12,Bethune-Cookman Wildcats,53.0,away,0.0,0.0,False,-47.0,0.0
2016-11-12,Mercer Bears,87.0,home,0.0,0.0,True,34.0,0.0
2016-11-12,Brewton-Parker Wildcats,53.0,away,0.0,0.0,False,-34.0,0.0
2016-11-12,Illinois Fighting Illini,81.0,home,0.0,0.0,True,19.0,24.0
2016-11-12,Southeast Missouri State Redhawks,62.0,away,0.0,0.0,False,-19.0,-24.0
2016-11-12,Weber State Wildcats,128.0,home,0.0,0.0,True,63.0,0.0
2016-11-12,Antelope Valley,65.0,away,0.0,0.0,False,-63.0,0.0
2016-11-12,Kansas State Wildcats,82.0,home,0.0,0.0,True,27.0,18.0
2016-11-12,Western Illinois Leathernecks,55.0,away,0.0,0.0,False,-27.0,-18.0
2016-11-12,Oregon State Beavers,78.0,home,0.0,0.0,True,20.0,0.0
2016-11-12,Prairie View A&M Panthers,58.0,away,0.0,0.0,False,-20.0,0.0
2016-11-12,Arizona State Sun Devils,88.0,home,0.0,0.0,True,18.0,18.5
2016-11-12,Portland State Vikings,70.0,away,0.0,0.0,False,-18.0,-18.5
2016-11-12,Colorado Buffaloes,90.0,home,0.0,0.0,True,37.0,20.5
2016-11-12,Sacramento State Hornets,53.0,away,0.0,0.0,False,-37.0,-20.5
2016-11-12,Virginia Tech Hokies,80.0,home,0.0,0.0,True,13.0,0.0
2016-11-12,Maine Black Bears,67.0,away,0.0,0.0,False,-13.0,0.0
2016-11-12,Navy Midshipmen,68.0,home,0.0,0.0,False,-10.0,-16.5
2016-11-12,Ohio State Buckeyes,78.0,away,0.0,0.0,True,10.0,16.5
2016-11-12,Tulane Green Wave,75.0,home,0.0,0.0,False,-20.0,-21.0
2016-11-12,North Carolina Tar Heels,95.0,away,0.0,0.0,True,20.0,21.0
2016-11-12,Kansas Jayhawks,99.0,home,0.0,0.0,False,-4.0,6.0
2016-11-12,Indiana Hoosiers,103.0,away,0.0,0.0,True,4.0,-6.0
2016-11-12,Michigan Wolverines,76.0,home,0.0,0.0,True,18.0,0.0
2016-11-12,Howard Bison,58.0,away,0.0,0.0,False,-18.0,0.0
2016-11-12,Texas A&M Aggies,72.0,home,0.0,0.0,True,28.0,21.0
2016-11-12,Northwestern State Demons,44.0,away,0.0,0.0,False,-28.0,-21.0
2016-11-12,Alabama Crimson Tide,70.0,home,0.0,0.0,True,17.0,12.5
2016-11-12,Coastal Carolina Chanticleers,53.0,away,0.0,0.0,False,-17.0,-12.5
2016-11-12,Wichita State Shockers,85.0,home,0.0,0.0,True,46.0,0.0
2016-11-12,South Carolina State Bulldogs,39.0,away,0.0,0.0,False,-46.0,0.0
2016-11-12,New Mexico State Aggies,100.0,home,0.0,0.0,True,48.0,0.0
2016-11-12,Phoenix Firestorm,52.0,away,0.0,0.0,False,-48.0,0.0
2016-11-12,Iowa Hawkeyes,91.0,home,0.0,0.0,True,17.0,0.0
2016-11-12,Kennesaw State Owls,74.0,away,0.0,0.0,False,-17.0,0.0
2016-11-12,Auburn Tigers,83.0,home,0.0,0.0,True,17.0,0.0
2016-11-12,North Florida Ospreys,66.0,away,0.0,0.0,False,-17.0,0.0
2016-11-12,Drake Bulldogs,74.0,home,0.0,0.0,False,-5.0,4.5
2016-11-12,South Dakota Coyotes,79.0,away,0.0,0.0,True,5.0,-4.5
2016-11-12,Cal State Fullerton Titans,77.0,home,0.0,0.0,True,49.0,0.0
2016-11-12,Caltech CALTECH,28.0,away,0.0,0.0,False,-49.0,0.0
2016-11-12,Long Beach State Beach,95.0,home,0.0,0.0,True,36.0,0.0
2016-11-12,Cal State LA Golden Eagles,59.0,away,0.0,0.0,False,-36.0,0.0
2016-11-12,Fresno State Bulldogs,69.0,home,0.0,0.0,True,3.0,15.0
2016-11-12,UTSA Roadrunners,66.0,away,0.0,0.0,False,-3.0,-15.0
2016-11-12,UC Irvine Anteaters,56.0,home,0.0,0.0,False,-16.0,4.5
2016-11-12,Utah State Aggies,72.0,away,0.0,0.0,True,16.0,-4.5
2016-11-12,Cal State Northridge Matadors,96.0,home,0.0,0.0,True,24.0,0.0
