DATE,TEAM,POINTS,HOME_AWAY,WIN_PROB,PRED_SPREAD,WON,ACTUAL_SPREAD,VEGAS_SPREAD
2012-11-10,Indiana Hoosiers,97.0,home,0.977929238,23.4061695313,True,43.0,33.0
2012-11-10,Bryant Bulldogs,54.0,away,0.022070762,-23.4061695313,False,-43.0,-33.0
2012-11-10,NC State Wolfpack,97.0,home,0.9421092039,16.7673702417,True,38.0,21.0
2012-11-10,Miami (OH) RedHawks,59.0,away,0.0578907961,-16.7673702417,False,-38.0,-21.0
2012-11-10,North Carolina Tar Heels,76.0,home,0.9158658259,15.7095554692,True,17.0,-0.0
2012-11-10,Gardner-Webb Runnin' Bulldogs,59.0,away,0.0841341740999999,-15.7095554692,False,-17.0,0.0
2012-11-10,Duke Blue Devils,74.0,home,0.943709852,17.4699679797,True,19.0,18.5
2012-11-10,Georgia State Panthers,55.0,away,0.056290148,-17.4699679797,False,-19.0,-18.5
2012-11-10,Michigan Wolverines,100.0,home,0.9657314549,19.327500005,True,38.0,0.0
2012-11-10,Slippery Rock The Rock,62.0,away,0.0342685451,-19.327500005,False,-38.0,0.0
2012-11-09,Baylor Bears,99.0,home,0.8000784054000001,8.763589885,True,22.0,-0.0
2012-11-09,Lehigh Mountain Hawks,77.0,away,0.1999215946,-8.763589885,False,-22.0,0.0
2012-11-10,Gonzaga Bulldogs,103.0,home,0.9658039841,20.6830171961,True,38.0,22.0
2012-11-10,Southern Utah Thunderbirds,65.0,away,0.0341960159,-20.6830171961,False,-38.0,-22.0
2012-11-10,UCLA Bruins,86.0,home,0.9153474785,14.1218668844,True,27.0,15.5
2012-11-10,Indiana State Sycamores,59.0,away,0.0846525215,-14.1218668844,False,-27.0,-15.5
2012-11-10,Creighton Bluejays,71.0,home,0.8991302699000001,13.5774348977,True,20.0,13.0
2012-11-10,North Texas Mean Green,51.0,away,0.1008697301,-13.5774348977,False,-20.0,-13.0
