DATE,TEAM,POINTS,HOME_AWAY,WIN_PROB,PRED_SPREAD,WON,ACTUAL_SPREAD,VEGAS_SPREAD
2010-11-09,Texas Longhorns,83.0,home,0.9632055106,22.8251458819,True,31.0,0.0
2010-11-09,Navy Midshipmen,52.0,away,0.0367944894,-22.8251458819,False,-31.0,0.0
2010-11-09,Pittsburgh Panthers,83.0,home,0.8485189515,10.4471153147,True,8.0,0.0
2010-11-09,Rhode Island Rams,75.0,away,0.1514810485,-10.4471153147,False,-8.0,0.0
2010-11-09,Illinois Fighting Illini,79.0,home,0.9391094878,16.6552437778,True,14.0,0.0
2010-11-09,UC Irvine Anteaters,65.0,away,0.0608905122,-16.6552437778,False,-14.0,0.0
2010-11-09,Maryland Terrapins,105.0,home,0.9227983811,16.0680598457,True,29.0,0.0
2010-11-09,Seattle U Redhawks,76.0,away,0.0772016189,-16.0680598457,False,-29.0,0.0
2010-11-11,Illinois Fighting Illini,84.0,home,0.9614481082,21.1650164077,True,39.0,0.0
2010-11-11,Toledo Rockets,45.0,away,0.0385518918,-21.1650164077,False,-39.0,0.0
2010-11-11,Texas Longhorns,89.0,home,0.9694082224,26.1215410045,True,31.0,0.0
2010-11-11,Louisiana Tech Bulldogs,58.0,away,0.0305917776,-26.1215410045,False,-31.0,0.0
2010-11-11,Maryland Terrapins,75.0,home,0.8207497080999999,10.9534952437,True,1.0,0.0
2010-11-11,Charleston Cougars,74.0,away,0.1792502919,-10.9534952437,False,-1.0,0.0
2010-11-11,Pittsburgh Panthers,97.0,home,0.9452896851,18.0147367956,True,43.0,0.0
2010-11-11,UIC Flames,54.0,away,0.0547103148999999,-18.0147367956,False,-43.0,0.0
2010-11-17,George Washington Revolutionaries,79.0,home,0.7350883603,6.5191506438,True,20.0,0.0
2010-11-17,Marist Red Foxes,59.0,away,0.2649116397,-6.5191506438,False,-20.0,0.0
2010-11-18,Manhattan Jaspers,59.0,home,0.4524144236,-1.0677005009,True,5.0,0.0
2010-11-18,Pennsylvania Quakers,54.0,away,0.5475855764,1.0677005009,False,-5.0,0.0
2010-11-18,Cornell Big Red,75.0,home,0.5099007183,0.2617859798,True,14.0,0.0
2010-11-18,Delaware Blue Hens,61.0,away,0.4900992817,-0.2617859798,False,-14.0,0.0
2010-11-18,Loyola Maryland Greyhounds,83.0,home,0.7577604183999999,7.5818969789,True,11.0,0.0
2010-11-18,UMBC Retrievers,72.0,away,0.2422395815999999,-7.5818969789,False,-11.0,0.0
2010-11-18,Massachusetts Minutemen,73.0,home,0.8622914639,12.3185429056,True,8.0,0.0
2010-11-18,Sacred Heart Pioneers,65.0,away,0.1377085361,-12.3185429056,False,-8.0,0.0
2010-11-18,Eastern Kentucky Colonels,81.0,home,0.9297488799,17.3074475448,True,16.0,0.0
2010-11-18,SIU Edwardsville Cougars,65.0,away,0.0702511201,-17.3074475448,False,-16.0,0.0
2010-11-18,Harvard Crimson,72.0,home,0.7636323840999999,7.3239035402,True,23.0,0.0
2010-11-18,Holy Cross Crusaders,49.0,away,0.2363676159,-7.3239035402,False,-23.0,0.0
2010-11-18,BYU Cougars,78.0,home,0.7487063755999999,7.1951106841,True,6.0,0.0
2010-11-18,Utah State Aggies,72.0,away,0.2512936244,-7.1951106841,False,-6.0,0.0
2010-11-18,Ball State Cardinals,75.0,home,0.5064877385,0.1618436964,True,15.0,0.0
2010-11-18,Indiana State Sycamores,60.0,away,0.4935122615,-0.1618436964,False,-15.0,0.0
2010-11-18,Memphis Tigers,94.0,home,0.9624397582,23.6486719872,True,15.0,0.0
2010-11-18,Northwestern State Demons,79.0,away,0.0375602418,-23.6486719872,False,-15.0,0.0
2010-11-18,Purdue Boilermakers,103.0,home,0.9924086125,38.0247171569,True,55.0,0.0
2010-11-18,Alcorn State Braves,48.0,away,0.0075913875,-38.0247171569,False,-55.0,0.0
2010-11-18,Lafayette Leopards,72.0,home,0.827988519,9.8895401927,True,4.0,0.0
2010-11-18,Saint Francis Red Flash,68.0,away,0.172011481,-9.8895401927,False,-4.0,0.0
2010-11-18,Wright State Raiders,75.0,home,0.9300974699,16.6401997515,True,20.0,0.0
2010-11-18,Northwood (MI) Timberwolves,55.0,away,0.0699025301,-16.6401997515,False,-20.0,0.0
2010-11-17,Eastern Michigan Eagles,79.0,home,0.9323337733,18.6415566455,True,9.0,0.0
2010-11-17,Madonna,70.0,away,0.0676662267,-18.6415566455,False,-9.0,0.0
2010-11-18,Niagara Purple Eagles,73.0,home,0.6453813725,4.2129060892,False,-17.0,0.0
2010-11-18,Milwaukee Panthers,90.0,away,0.3546186275,-4.2129060892,True,17.0,0.0
2010-11-18,Bucknell Bison,66.0,home,0.6736615111,4.1327129258,True,28.0,0.0
2010-11-18,Binghamton Bearcats,38.0,away,0.3263384889,-4.1327129258,False,-28.0,0.0
2010-11-18,Tennessee Volunteers,60.0,home,0.8001628471,8.67354894,True,4.0,0.0
2010-11-18,Missouri State Bears,56.0,away,0.1998371528999999,-8.67354894,False,-4.0,0.0
2010-11-18,Villanova Wildcats,82.0,home,0.8578620489,11.5515723835,True,16.0,0.0
2010-11-18,Boston University Terriers,66.0,away,0.1421379511,-11.5515723835,False,-16.0,0.0
2010-11-18,UConn Huskies,89.0,home,0.8420753814000002,11.6754341646,True,16.0,0.0
2010-11-18,Vermont Catamounts,73.0,away,0.1579246186,-11.6754341646,False,-16.0,0.0
2010-11-18,Florida Atlantic Owls,88.0,home,0.9455624429,19.6816408604,True,30.0,0.0
2010-11-18,Warner University Royals,58.0,away,0.0544375571,-19.6816408604,False,-30.0,0.0
2010-11-18,Notre Dame Fighting Irish,102.0,home,0.9716571867,25.01641214,True,40.0,0.0
2010-11-18,Chicago State Cougars,62.0,away,0.0283428133,-25.01641214,False,-40.0,0.0
2010-11-18,Louisiana Tech Bulldogs,60.0,home,0.5114325686,0.2944719574,True,6.0,0.0
2010-11-18,Houston Cougars,54.0,away,0.4885674314,-0.2944719574,False,-6.0,0.0
2010-11-18,Kennesaw State Owls,69.0,home,0.5514973214,1.3334932826,False,-4.0,0.0
2010-11-18,Chattanooga Mocs,73.0,away,0.4485026785999999,-1.3334932826,True,4.0,0.0
2010-11-18,UT Rio Grande Valley Vaqueros,71.0,home,0.1401956842,-10.8181769176,False,-6.0,0.0
2010-11-18,Northwestern Wildcats,77.0,away,0.8598043158,10.8181769176,True,6.0,0.0
2010-11-18,Creighton Bluejays,63.0,home,0.7805322371999999,8.0698762321,True,5.0,0.0
2010-11-18,Louisiana Ragin' Cajuns,58.0,away,0.2194677628,-8.0698762321,False,-5.0,0.0
2010-11-18,Oklahoma State Cowboys,68.0,home,0.8930971747999998,13.3631929633,True,10.0,0.0
2010-11-18,Texas A&M-Corpus Christi Islanders,58.0,away,0.1069028252,-13.3631929633,False,-10.0,0.0
2010-11-18,Evansville Purple Aces,77.0,home,0.788526774,8.394295583,True,4.0,0.0
2010-11-18,UTSA Roadrunners,73.0,away,0.211473226,-8.394295583,False,-4.0,0.0
2010-11-18,Air Force Falcons,57.0,home,0.9263300993,14.3092136486,False,-3.0,0.0
2010-11-18,Colorado College Tigers,60.0,away,0.0736699007,-14.3092136486,True,3.0,0.0
2010-11-18,American University Eagles,65.0,home,0.8459992134,10.1610404599,True,7.0,0.0
2010-11-18,Maryland Eastern Shore Hawks,58.0,away,0.1540007866,-10.1610404599,False,-7.0,0.0
2010-11-18,Georgia Tech Yellow Jackets,78.0,home,0.9178276194,15.4386778356,True,27.0,0.0
2010-11-18,UAlbany Great Danes,51.0,away,0.0821723806,-15.4386778356,False,-27.0,0.0
2010-11-18,Southern Jaguars,74.0,home,0.7321731346999999,6.8197778382,True,2.0,0.0
2010-11-18,Auburn-Montgomery Senators,72.0,away,0.2678268653,-6.8197778382,False,-2.0,0.0
2010-11-18,St. John's Red Storm,79.0,home,0.8710752391,11.8332755748,True,13.0,0.0
2010-11-18,Columbia Lions,66.0,away,0.1289247609,-11.8332755748,False,-13.0,0.0
2010-11-18,Middle Tennessee Blue Raiders,71.0,home,0.4743000286999999,-0.6820251693,False,-5.0,0.0
2010-11-18,UAB Blazers,76.0,away,0.5256999713,0.6820251693,True,5.0,0.0
2010-11-18,Southern Miss Golden Eagles,93.0,home,0.8215706081999999,10.3040619975,True,35.0,0.0
2010-11-18,South Alabama Jaguars,58.0,away,0.1784293918,-10.3040619975,False,-35.0,0.0
2010-11-18,Iowa State Cyclones,91.0,home,0.5662092942,1.741779447,True,48.0,0.0
2010-11-18,Drake Bulldogs,43.0,away,0.4337907058,-1.741779447,False,-48.0,0.0
2010-11-18,Ole Miss Rebels,77.0,home,0.5996619467,2.5730803412,True,16.0,0.0
2010-11-18,Murray State Racers,61.0,away,0.4003380533,-2.5730803412,False,-16.0,0.0
